XML100_2113_01;13063;257.768;105.041;0.2078;0.0803;534.2;133.203;0;294.4;0.2274;0.1524;446.5;0.2066;0.1033;0.0207;327.901;482.077;1.6125;3.5971
XML100_2113_01;13237;201.777;57.7145;0.1561;0.0349;576.7;74.8466;0;302.6;0.2275;0.1691;420.3;0.2113;0.1057;0.0321;187.524;489.225;1.7889;4.1107
XML100_2113_01;13168;225.72;114.302;0.1653;0.0572;552.8;112.228;0;279.4;0.2105;0.1649;430.8;0.2062;0.1031;0.0202;307.325;484.538;1.5492;3.7572
XML100_2113_01;13168;243.308;164.782;0.214;0.1242;539.6;157.225;0;297.6;0.2452;0.1512;432.2;0.3636;0.1818;0.2727;403.127;467.493;3;3.515
XML100_2113_01;13000;195.334;102.779;0.1588;0.1049;563.7;79.7384;0;294.2;0.2256;0.172;416.4;0.2074;0.1037;0.0233;213.558;490.165;1.6125;3.9475
XML100_2113_01;13207;251.384;107.384;0.1999;0.1005;544.5;110.326;0;292.3;0.2193;0.1425;457.3;0.2031;0.1016;0.0133;297.915;490.419;1.1832;3.5627
XML100_2113_01;13278;256.225;106.614;0.2884;0.2706;509;147.857;0;329.9;0.2552;0.1327;528.4;0.2343;0.1172;0.0723;355.041;485.796;2.4083;3.0963
XML100_2113_01;13251;241.53;155.765;0.1747;0.0968;545.6;108.597;0;282.8;0.2101;0.1668;402.8;0.2049;0.1024;0.0174;296.475;486.387;1.4142;4.1102
XML100_2113_01;12985;208.343;87.8099;0.184;0.1112;552.6;100.951;0;289.6;0.2263;0.1719;395.8;0.2062;0.1031;0.0202;204.92;486.163;1.5492;4.2083
XML100_2113_01;12985;275.08;140.75;0.2519;0.1224;514.5;166.229;0;324.3;0.2667;0.1153;479.8;0.3636;0.1818;0.2727;412.016;463.648;3;2.965
XML100_2113_01;13046;266.073;79.7241;0.238;0.0965;531.3;126.425;0;305.7;0.2285;0.1434;482.8;0.2069;0.1034;0.0225;286.341;485.163;1.5492;3.3451
XML100_2113_01;13120;283.628;129.418;0.3199;0.3059;495.3;199.348;0;261.9;0.227;0.1329;428.7;0.3636;0.1818;0.2727;444.757;466.322;3;3.35
XML100_2113_01;13399;270.899;160.569;0.3035;0.2277;521.6;180.669;0;276.8;0.23;0.1628;382.9;0.3636;0.1818;0.2727;466.915;448.453;3;4.16
XML100_2113_01;13084;322.381;144.914;0.2805;0.1377;499.9;174.386;0;283.9;0.2367;0.139;414.2;0.3636;0.1818;0.2727;458.265;462.91;3;3.325
XML100_2113_01;13008;251.808;133.638;0.2158;0.1247;529.4;155.018;0;303.3;0.2522;0.1624;363.9;0.3636;0.1818;0.2727;389.022;464.696;3;3.92
XML100_2113_01;13218;276.568;147.365;0.2087;0.109;527.4;125.917;0;308.2;0.2294;0.1493;467.1;0.2074;0.1037;0.0233;327.27;490.101;1.6125;3.7963
XML100_2113_01;12950;244.59;138.731;0.1942;0.1172;533.1;125.711;0;305;0.2405;0.1492;447.1;0.2123;0.1061;0.0329;319.625;488.263;1.8974;3.5605
XML100_2113_01;12950;306.241;184.996;0.2652;0.2515;493.6;201.523;0;328.5;0.2705;0.115;497.9;0.3636;0.1818;0.2727;500.248;469.727;3;2.815
XML100_2113_01;13100;273.726;117.413;0.2541;0.1415;534.2;123.965;0;323.2;0.2438;0.1522;484.3;0.2062;0.1031;0.0202;282.034;483.303;1.5492;3.6189
XML100_2113_01;13182;241.386;118.273;0.1891;0.0948;554.7;89.3376;0;291.5;0.2185;0.168;420.1;0.2092;0.1046;0.0258;265.072;485.782;1.7889;4.0622
XML100_2113_01;13131;233.062;106.9;0.2169;0.0994;549.5;115.931;0;294.2;0.2247;0.179;387.1;0.2069;0.1034;0.0225;266.796;482.215;1.5492;4.2853
XML100_2113_01;12940;237.998;80.7649;0.1729;0.0557;535.9;120.305;0;298.8;0.2276;0.1514;442.5;0.2066;0.1033;0.0207;298.999;485.577;1.6125;3.5758
